file	assestment	status	dneresult	dneurl	efqresult	efqurl	language	context	target	note	
../../TPTP-v7.3.0/Problems/SYN/SYN697-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN072+1.p		Theorem	UNKNOWN		UNKNOWN		fof	(big_p(a)),(big_p(b)),(a!=b),(big_p(a)),(big_p(b)),(a!=b)	(![X]:big_p(X))	error in process(?[X,Y]:![Z]:(Z=X|Z=Y))		
../../TPTP-v7.3.0/Problems/SYN/SYN880-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN076-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf	(c2!=c1),(c2!=c1)		found nothing to prove		
../../TPTP-v7.3.0/Problems/SYN/SYN855-1.p		Satisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN347+1.p		Theorem	UNKNOWN		UNKNOWN		fof		(![Z1,Z2]:?[X1,X2]:![Y]:(((big_f(X1,Y)<=>big_f(X2,Y))<=>big_f(Z1,Z2))|(big_f(Z1,Y)<=>big_f(Z2,Y))))			
../../TPTP-v7.3.0/Problems/SYN/SYN473-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN669-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN091-1.003.p		Satisfiable	UNKNOWN		UNKNOWN		cnf	(p_1_2|~p_2_2|~p_1_1),(p_1_2|~q_2_2|~q_1_1),(p_1_3|~p_2_3|~p_1_2),(p_1_3|~q_2_3|~q_1_2),(p_2_3|~p_3_3|~p_2_2),(p_2_3|~q_3_3|~q_2_2),(q_1_2|~p_2_2|~q_1_1),(q_1_2|~q_2_2|~p_1_1),(q_1_3|~p_2_3|~q_1_2),(q_1_3|~q_2_3|~p_1_2),(q_2_3|~p_3_3|~q_2_2),(q_2_3|~q_3_3|~p_2_2),(p_1_1|~p_1_2),(q_1_1|~q_1_2),(p_2_2|~p_1_2),(p_3_3|~p_2_3),(q_2_2|~q_1_2),(q_3_3|~q_2_3),(sym_p_1_3),(~sym_p_1_2|sym_p_2_2|sym_p_1_1),(~sym_p_1_2|sym_q_2_2|sym_q_1_1),(~sym_p_1_3|sym_p_2_3|sym_p_1_2),(~sym_p_1_3|sym_q_2_3|sym_q_1_2),(~sym_p_2_3|sym_p_3_3|sym_p_2_2),(~sym_p_2_3|sym_q_3_3|sym_q_2_2),(~sym_q_1_2|sym_p_2_2|sym_q_1_1),(~sym_q_1_2|sym_q_2_2|sym_p_1_1),(~sym_q_1_3|sym_p_2_3|sym_q_1_2),(~sym_q_1_3|sym_q_2_3|sym_p_1_2),(~sym_q_2_3|sym_p_3_3|sym_q_2_2),(~sym_q_2_3|sym_q_3_3|sym_p_2_2),(~sym_p_1_1|sym_p_1_2),(~sym_q_1_1|sym_q_1_2),(~sym_p_2_2|sym_p_1_2),(~sym_p_3_3|sym_p_2_3),(~sym_q_2_2|sym_q_1_2),(~sym_q_3_3|sym_q_2_3),(p_1_2|~p_2_2|~p_1_1),(p_1_2|~q_2_2|~q_1_1),(p_1_3|~p_2_3|~p_1_2),(p_1_3|~q_2_3|~q_1_2),(p_2_3|~p_3_3|~p_2_2),(p_2_3|~q_3_3|~q_2_2),(q_1_2|~p_2_2|~q_1_1),(q_1_2|~q_2_2|~p_1_1),(q_1_3|~p_2_3|~q_1_2),(q_1_3|~q_2_3|~p_1_2),(q_2_3|~p_3_3|~q_2_2),(q_2_3|~q_3_3|~p_2_2),(p_1_1|~p_1_2),(q_1_1|~q_1_2),(p_2_2|~p_1_2),(p_3_3|~p_2_3),(q_2_2|~q_1_2),(q_3_3|~q_2_3),(sym_p_1_3),(~sym_p_1_2|sym_p_2_2|sym_p_1_1),(~sym_p_1_2|sym_q_2_2|sym_q_1_1),(~sym_p_1_3|sym_p_2_3|sym_p_1_2),(~sym_p_1_3|sym_q_2_3|sym_q_1_2),(~sym_p_2_3|sym_p_3_3|sym_p_2_2),(~sym_p_2_3|sym_q_3_3|sym_q_2_2),(~sym_q_1_2|sym_p_2_2|sym_q_1_1),(~sym_q_1_2|sym_q_2_2|sym_p_1_1),(~sym_q_1_3|sym_p_2_3|sym_q_1_2),(~sym_q_1_3|sym_q_2_3|sym_p_1_2),(~sym_q_2_3|sym_p_3_3|sym_q_2_2),(~sym_q_2_3|sym_q_3_3|sym_p_2_2),(~sym_p_1_1|sym_p_1_2),(~sym_q_1_1|sym_q_1_2),(~sym_p_2_2|sym_p_1_2),(~sym_p_3_3|sym_p_2_3),(~sym_q_2_2|sym_q_1_2),(~sym_q_3_3|sym_q_2_3)				
../../TPTP-v7.3.0/Problems/SYN/SYN721-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
