word,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10
マチエール,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
マテリアル,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
原材料,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
資材,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
材,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
素材,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
材料,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
スタッフ,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
マティエール,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
原料,-0.0341669217345194,-0.0427922984517927,0.0807898862194948,-0.0295515084486564,0.0362420756672816,-0.045820669490018,-0.022795300114363,0.0497544272937313,0.02396991345628,-0.0051711248853087
草木,0.0363132196973336,0.0188507189997387,-0.0545811856990664,0.0353189880857859,0.0226237497974647,-0.1106137504030979,0.0541451742438777,-0.0257963175739181,0.013874056570364,0.007229381290624
植物,0.0363132196973336,0.0188507189997387,-0.0545811856990664,0.0353189880857859,0.0226237497974647,-0.1106137504030979,0.0541451742438777,-0.0257963175739181,0.013874056570364,0.007229381290624
主義,-0.2182656903212847,0.0753015419645818,0.0879841625817712,-0.0133916060795192,-0.1287992964420489,0.1916399587861831,-0.048774896250615,0.0660384775410196,-0.0459551479240789,-0.0035710467382772
信条,-0.2182656903212847,0.0753015419645818,0.0879841625817712,-0.0133916060795192,-0.1287992964420489,0.1916399587861831,-0.048774896250615,0.0660384775410196,-0.0459551479240789,-0.0035710467382772
変更,-0.0655626668221466,0.0425912653101579,0.0891559083616133,0.0118930572064216,-0.1866622361276472,0.1463583109316697,-0.1667068046410878,0.00725947493332,-0.0127398304723884,0.0481351164337922
変易,-0.0655626668221466,0.0425912653101579,0.0891559083616133,0.0118930572064216,-0.1866622361276472,0.1463583109316697,-0.1667068046410878,0.00725947493332,-0.0127398304723884,0.0481351164337922
改変,-0.0655626668221466,0.0425912653101579,0.0891559083616133,0.0118930572064216,-0.1866622361276472,0.1463583109316697,-0.1667068046410878,0.00725947493332,-0.0127398304723884,0.0481351164337922
変改,-0.0655626668221466,0.0425912653101579,0.0891559083616133,0.0118930572064216,-0.1866622361276472,0.1463583109316697,-0.1667068046410878,0.00725947493332,-0.0127398304723884,0.0481351164337922
物,0.0916493147200499,-0.0506954759046866,-0.1155314105195747,-0.0308694222696114,0.0694553825654068,-0.121382286296748,0.1346536335191552,-0.0671799905470533,0.0081081772569628,-0.0373786336838973
もの,0.0916493147200499,-0.0506954759046866,-0.1155314105195747,-0.0308694222696114,0.0694553825654068,-0.121382286296748,0.1346536335191552,-0.0671799905470533,0.0081081772569628,-0.0373786336838973
ジャイロスタビライザー,0.296082826344348,-0.3087824963075559,0.0276316786061024,-0.3107249139021883,0.266613490679126,-0.2123742117274435,0.2276088805142702,-0.1355625986361144,0.0646484432884251,-0.0898097059111724
生き物,-0.0028117454581804,0.0132032589747058,-0.0794198267794418,0.0162193104151982,-0.0036230642738773,-0.0426797751728208,0.040117183843499,-0.0107671287136159,0.0183620196023814,-0.0094183717916357
サーキット,0.2120986742373679,-0.1877032981397201,0.0303145720141922,-0.2121566852760314,0.189926786638895,-0.1303018168543167,0.1667613438461954,-0.0661870527477253,0.0657238035190995,-0.0242553419189952
電気回路,0.2120986742373679,-0.1877032981397201,0.0303145720141922,-0.2121566852760314,0.189926786638895,-0.1303018168543167,0.1667613438461954,-0.0661870527477253,0.0657238035190995,-0.0242553419189952
回線,0.2120986742373679,-0.1877032981397201,0.0303145720141922,-0.2121566852760314,0.189926786638895,-0.1303018168543167,0.1667613438461954,-0.0661870527477253,0.0657238035190995,-0.0242553419189952
電路,0.2120986742373679,-0.1877032981397201,0.0303145720141922,-0.2121566852760314,0.189926786638895,-0.1303018168543167,0.1667613438461954,-0.0661870527477253,0.0657238035190995,-0.0242553419189952
回路,0.2120986742373679,-0.1877032981397201,0.0303145720141922,-0.2121566852760314,0.189926786638895,-0.1303018168543167,0.1667613438461954,-0.0661870527477253,0.0657238035190995,-0.0242553419189952
